"gisid","1_1","1_2","1_3","2_1","2_2","2_3"
"776877.979811251_6191989.78094743",0,0,0,0,0,0
"777158.246606369_6192306.64837879",0,0,0,0,0,0
"753367.641316123_6158264.29069176",0,0,0,0,0,0
"755167.345197621_6157064.36335452",0,0,0,0,0,0
"752768.038047876_6158862.03761657",0,0,0,0,0,0
"752774.275848968_6159465.70585324",0,0,0,0,0,0
"693694.889310273_6102211.42149327",0,0,0,0,0,0
"779548.109558265_6200400.63264008",0,0,0,0,0,0
"694013.008954099_6102917.77645674",0,0,0,0,0,0
"694260.233122872_6102676.57206651",0,0,0,0,0,0
"753367.170204914_6158863.56267087",0,0,0,0,0,0
"750370.340513258_6159466.32258295",0,0,0,0,0,0
"753966.981130632_6157670.61192028",0,0,0,0,0,0
"705317.391644142_6103139.88668669",0,0,0,0,0,0
"752168.031505217_6160665.20802927",0,0,0,0,0,0
"684331.335755377_6101274.25636807",0,0,0,0,0,0
"684798.487884768_6100899.42168276",0,0,0,0,0,0
"708754.268060098_6101813.20453557",0,0,0,0,0,0
"709313.52999588_6102455.3333543",0,0,0,0,0,0
"750367.045465101_6158862.96544039",0,0,0,0,0,0
"754564.191673823_6158262.11907052",0,0,0,0,0,0
"770144.397052675_6196265.3688362",0,0,0,0,0,0
"704993.256325621_6103377.7605011",0,0,0,0,0,0
"708681.352166241_6102158.63739819",0,0,0,0,0,0
"751567.903842477_6160663.65669879",0,0,0,0,0,0
"605151.619247877_6134618.28698612",0,0,0,0,0,0
"606834.121293588_6135130.59168197",0,0,0,0,0,0
"763481.742696716_6191630.63051437",0,0,0,0,0,0
"765792.479533823_6190871.431363",0,0,0,0,0,0
"766146.625838319_6190829.8226787",0,0,0,0,0,0
"695403.292654075_6100435.25542058",0,0,0,0,0,0
"695917.787087593_6099864.7516189",0,0,0,0,0,0
"697440.773108334_6101239.1200815",0,0,0,0,0,0
"697772.113537433_6101417.33064492",0,0,0,0,0,0
"705686.094374267_6101267.79055228",0,0,0,0,0,0
"764346.478089508_6191875.1137984",1,0,0,0,0,0
"765571.483324101_6191348.71246336",0,0,0,0,0,0
"766399.261279442_6190464.61619278",0,0,0,0,0,0
"711269.563419039_6115162.53110972",0,0,0,0,0,0
"705891.089387776_6102060.8058529",0,0,0,0,0,0
"705918.727827249_6101578.55497011",0,0,0,0,1,0
"763629.875410673_6191287.4845016",0,0,0,0,0,0
"757655.747133245_6214375.76408335",0,0,0,0,0,0
"754570.555135381_6157665.29577929",0,0,0,0,0,0
"607807.02530562_6135638.05099559",0,0,0,0,0,0
"595924.634498976_6122310.69219874",0,0,0,0,0,1
"595742.006014899_6121939.52338961",0,0,1,0,1,1
"596488.058980121_6122702.39217139",1,1,0,1,1,0
"752784.379369238_6158299.82047123",0,0,0,0,0,0
"695689.359894791_6100181.114579",0,0,0,0,0,0
"731901.983420811_6178094.38170669",0,0,0,0,0,0
"733325.56176974_6177645.57824231",0,0,0,0,0,0
"592105.151473419_6121997.59557928",0,0,0,0,0,0
"592663.216009513_6120319.74650551",0,0,0,0,0,0
"713089.259635644_6072017.47073544",0,1,0,0,0,0
"713562.772787032_6072548.40550754",1,1,1,0,0,0
"717455.684031454_6059997.92285368",1,0,0,0,0,0
"717485.607315816_6059367.49096202",0,0,0,0,0,0
"781094.998431823_6192878.26805012",0,0,0,0,0,0
"781544.369325191_6192299.85900814",0,0,0,0,0,0
"717102.778634178_6060002.9184268",0,0,0,0,0,0
"717271.467856106_6059661.825638",0,0,0,0,0,0
"717810.234668406_6059243.83265753",0,0,0,0,0,0
"717854.391392737_6058891.63728596",0,0,0,0,0,0
"718326.444945267_6058694.22094246",0,0,0,0,0,0
"596455.668866142_6123929.19989536",0,0,0,0,0,0
"753979.846908254_6158872.75803495",0,0,0,0,0,0
"598530.899906605_6119423.45282623",0,0,0,0,0,0
"599602.096817388_6116874.15114468",0,0,0,0,0,0
"600410.838016207_6116824.50091792",0,0,0,0,0,0
"750979.244598925_6160671.76646511",0,0,0,0,0,0
"755165.388232156_6158262.77523211",0,0,0,0,0,0
"751580.736205497_6158876.81262497",0,0,0,0,0,0
"752124.075102658_6159464.21095551",0,0,0,0,0,0
"754572.640471057_6158862.92734476",0,0,0,0,0,0
"599165.1369338_6117981.27641712",0,0,0,0,0,0
"599375.363377086_6117999.33586128",0,0,0,0,0,0
"753967.249254022_6157058.38691276",0,0,0,0,0,0
"749869.59510383_6167123.00356589",0,1,0,0,0,0
"591513.763002853_6123567.10351984",0,0,0,0,0,0
"752176.797538436_6158862.05251306",0,0,0,0,0,0
"750950.48343145_6160057.90632398",0,0,0,0,0,0
"752770.124143147_6160059.63041735",0,0,0,0,0,0
"750961.784085895_6155864.10629207",0,0,0,0,0,0
"701286.194226826_6091478.44128903",0,0,0,0,0,0
"710969.90859134_6113506.45686009",0,0,0,0,0,0
"750371.647062437_6160087.63192129",0,0,0,0,0,0
"750378.456698023_6155866.5225484",0,0,0,0,0,0
"717993.682243437_6058539.01039692",0,0,0,0,0,0
"749842.141876214_6167876.93443909",0,0,0,0,0,0
"755759.78644258_6155861.02194964",0,0,0,0,0,0
"755772.049721408_6157664.39502563",0,0,0,0,0,0
"754029.235081428_6238380.68058074",0,0,0,0,0,0
"755778.035244127_6160671.9805476",0,0,0,0,0,0
"816574.840592561_6041216.71403765",0,0,0,0,0,0
"750366.208750761_6160667.51957585",0,0,0,0,0,0
"780013.082175206_6150232.37419613",0,0,0,0,0,0
"800450.302758184_6057468.60428239",0,0,0,0,1,1
"778301.978946256_6151665.14885473",0,0,0,0,0,0
"701398.34254906_6092949.42324158",0,0,0,0,0,0
"707117.857942683_6106996.56388833",0,0,0,0,0,0
"759339.709555159_6213072.501484",0,0,0,0,0,0
"795908.090816209_6057658.68992536",0,0,0,0,0,0
"797720.469711596_6058269.16355906",0,0,0,0,0,0
"800867.706323569_6056686.57804041",1,0,1,1,1,1
